"Ticker","Nome","Negócios","Última (R$)","Variação"
"LJQQ3","Lojas Quero-Quero","1.616.900","4,09","-1,68%"
"IRBR3","IRB Brasil RE","1.590.800","29,99","-4,49%"
"VIVA3","Vivara","1.571.600","22,54","-1,36%"
"ONCO3","Oncoclínicas","1.570.100","7,15","+1,56%"
"OIBR3","Oi","1.485.900","4,39","-5,39%"
"NGRD3","Neogrid","1.479.400","1,10","-1,79%"
"DASA3","Dasa","1.461.400","3,51","+0,57%"
"TEND3","Construtora Tenda","1.364.100","12,39","+1,06%"
"SLCE3","SLC Agrícola","1.361.300","19,35","+0,21%"
"BPAN4","Banco Pan","1.356.300","8,70","+0,93%"
"EGIE3","Engie","1.345.300","45,60","-1,02%"
"POSI3","Positivo","1.343.300","7,40","-0,54%"
"CURY3","Cury","1.330.200","21,66","+0,74%"
"GGPS3","GPS","1.285.400","16,95","-0,18%"
"SRNA3","Serena Energia","1.269.800","8,83","-1,01%"
"KEPL3","Kepler Weber","1.233.900","10,31","+1,38%"
"DIRR3","Direcional","1.160.800","28,41","+1,43%"
"TRAD3","Traders Club","1.149.600","0,52","-10,34%"
"PDGR3","PDG Realty","1.099.300","1,80","-5,26%"
"MDIA3","M. Dias Branco","1.063.200","28,87","+0,21%"
"SBFG3","Grupo SBF","1.056.600","13,70","-1,72%"
"ARML3","Armac","1.053.600","9,75","-0,41%"
"LIGT3","Light","1.048.300","4,54","-5,42%"
"NEOE3","Neoenergia","992.000","18,45","-1,39%"
"PSSA3","Porto Seguro","914.400","30,31","-2,00%"
"CLSA3","ClearSale","901.700","7,34","+2,95%"
"KLBN4","Klabin","894.000","4,28","+0,47%"
"CASH3","Méliuz","878.900","5,79","+0,70%"
"SAPR4","Sanepar","831.600","5,33","-0,93%"
"ARZZ3","Arezzo","803.500","52,29","-0,55%"
"TTEN3","3tentos","755.300","10,85","+0,46%"
"INTB3","Intelbras","752.400","21,83","-0,23%"
"MTRE3","Mitre Realty","745.100","4,02","+1,26%"
"ABCB4","Banco ABC Brasil","711.300","22,59","+0,00%"
"BRSR6","Banrisul","710.500","11,70","-0,76%"
"PGMN3","Pague Menos","698.400","2,78","-1,42%"
"MYPK3","Iochpe-Maxion","675.200","11,88","-0,59%"
"ENAT3","Enauta","673.000","21,81","+0,14%"
"ELET6","Eletrobras","663.500","41,44","-1,94%"
"PLPL3","Plano&Plano","618.600","11,05","-0,81%"
"BMGB4","Banco BMG","588.300","3,73","+2,19%"
"ENJU3","Enjoei","571.800","1,89","-4,55%"
"MILS3","Mills","555.500","11,27","+0,00%"
"TGMA3","Tegma","554.000","24,18","-4,24%"
"ODPV3","Odontoprev","535.500","11,94","+1,27%"
"MATD3","Mater Dei","499.300","4,49","-3,23%"
"AZEV3","Azevedo & Travassos","488.800","1,59","-0,62%"
"MBLY3","Mobly","478.000","2,62","+0,00%"
"SOJA3","Boa Safra Sementes","466.900","15,39","+0,79%"
"VLID3","Valid","462.300","16,42","+2,11%"
"FIQE3","Unifique","461.800","3,38","+0,60%"
"EVEN3","Even","460.400","6,32","-0,32%"
"PNVL3","Dimed","447.300","9,90","+0,10%"
"RCSL4","Recrusul","428.300","1,02","-3,77%"
"GRND3","Grendene","416.600","6,04","-0,17%"
"RANI3","Irani","415.000","8,90","+0,68%"
"FESA4","Ferbasa","409.500","8,62","-2,38%"
"MDNE3","Moura Dubeux","398.900","13,11","-0,83%"
"TFCO4","Track & Field","396.200","11,22","+1,08%"
"ORVR3","Orizon","392.900","42,62","+0,52%"
"TUPY3","Tupy","383.500","25,64","-0,58%"
"TAEE4","Taesa","381.800","11,47","-1,38%"
"SEER3","Ser Educacional","376.900","5,16","-2,64%"
"ITUB3","Itaú Unibanco","361.500","29,36","+0,89%"
"ESPA3","Espaçolaser","358.700","1,05","+0,96%"
"WIZC3","Wiz Soluções","358.300","5,83","-0,85%"
"VITT3","Vittia","340.700","6,15","+2,67%"
"LAVV3","Lavvi Incorporadora","334.900","9,18","-0,33%"
"AMAR3","Lojas Marisa","334.900","1,47","+2,08%"
"FRAS3","Fras-le","331.600","20,49","+0,69%"
"OPCT3","OceanPact","313.900","6,42","-0,16%"
"KRSA3","Kora Saúde","307.400","0,71","+0,00%"
"MEAL3","IMC Alimentação","298.600","1,44","-1,37%"
"ALPK3","Estapar","295.800","3,58","+7,51%"
"JALL3","Jalles Machado","295.000","7,40","-1,33%"
"PORT3","Wilson Sons","289.400","15,81","+0,00%"
"VULC3","Vulcabras","279.500","15,62","-1,14%"
"HBRE3","HBR Realty","277.500","5,60","-0,88%"
